Playlist ID                                                         | Trade| Year  | Module   | Title                                                     | Description                                                                                                                                                                      | Youtube video link             | Google Forms
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 1 | 1 Safe Working Practices                                  | An essential safety training session for ITI COPA students covering computer lab protocols, electrical precautions, and proper ergonomic habits.                                 | kRSPSio9h14?si=Kzjc2bJQElj0U3TC| 
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 2 | 1 Introduction to Computers                               | A foundational overview for ITI COPA students introducing core computer hardware components, basic architecture, and the fundamental principles of computing.                    | Q1NX85QN5zo?si=-Ag9xlZUE4l1rxMZ| https://forms.gle/KiwTsymk2mq4Q9r76
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 3 | 1 Windows Operating System                                | An introductory video for ITI COPA students exploring the basics of the Windows Operating System, including file management, system settings, and desktop navigation.            | iEJ0YeCBoJ8?si=Tm5Gyf9bStWJp1tW| https://forms.gle/N2XpA7T4LjXabG6p8
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 4 | 1 DOS & LINUX Operating System                            | A comprehensive introduction for ITI COPA students comparing the fundamentals, core command-line interfaces, and file management systems of DOS and Linux.                       | FGfd2zBcy5Y?si=tFahscyDKyoH-68k| https://forms.gle/KdkqgNHZcCWdgmpu9
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 5 | 1 MS Word                                                 | A practical tutorial for ITI COPA students covering Microsoft Word essentials, including document creation, text formatting, and page layout tools.                              | 24R66fQJBt0?si=YPbY65hLUUYgwHFL| https://forms.gle/e99FPwDzbDZAyMSh7
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 6 | 1 MS Excel                                                | A hands-on guide for ITI COPA students mastering Microsoft Excel, focusing on spreadsheets, formulas, data analysis, and basic charting techniques.                              | -BmhxVAzSW8?si=m4jHjdaKUbuFQ13c| https://forms.gle/s9oXRqbT5CvRBdYD9
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 7 | 1 MS Power Point                                          | A dynamic training session for ITI COPA students on creating impactful presentations using Microsoft PowerPoint, covering slide design, animations, and delivery techniques.     | lF4Ex4P-7oI?si=TVyYPI3NqA6nVYvg| https://forms.gle/rUHrPXzD734WTtWY9
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 8 | 1 Database Concepts DBMS, MySQL                           | A foundational introduction for ITI COPA students covering relational database concepts, DBMS architecture, and basic data manipulation using MySQL.                             | VdcV8uGaLa8?si=phsAsy7apybByU2B| https://forms.gle/Mkx5Q3atMtjKKKta6
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 9 | 1 Networking Topology, Server, LAN, WAN, OSI 7 layer Model| An essential overview for ITI COPA students explaining network topologies, LAN/WAN architectures, server basics, and the conceptual framework of the OSI 7-layer model.          | 2DnPB6w9jos?si=I20paMZhOIKfOKw-| https://forms.gle/Jbo6vRJ3Hmjv2q5g8
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 10| 1 Internet web Browser, Search engine                     | A practical introduction for ITI COPA students on navigating the internet, understanding web browser functionalities, and leveraging search engines for efficient data retrieval.| MSAKn2PL-tc?si=vwgKRByExNQSgEMz| https://forms.gle/ruAXBY6CZ6cpFnQw6
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 11| 1 Introduction to HTML                                    | A foundational introduction for ITI COPA students on the basics of HTML, covering core tags, document structure, and the essentials of web page creation.                        | PT4U_piwrJA?si=4KMLj-oa2tTn-jH7| https://forms.gle/xF5v8iBQy1JhZfjX8
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 11| 2 Introduction to CSS                                     | An introductory guide for ITI COPA students on the basics of CSS, covering styling concepts, selectors, and layout properties used to design engaging web pages.                 | yTM1OD1WJfM?si=b3VcBfJNFIPhibhm| 
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 11| 3 Introduction to JavaScript                              | An introductory guide for ITI COPA students explaining the core fundamentals of JavaScript, web scripting basics, and how to add interactivity to web pages.                     | zfhupxtgV-0?si=MycS1WY2UFoqpsak| 
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 11| 4 Introduction to Wordpress                               | A practical introduction for ITI COPA students on setting up and navigating WordPress to create, customize, and manage dynamic websites.                                         | c84BKnAtqfo?si=V0zQTLlStbsARSir| 
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 12| 1 E Commerce                                              | A comprehensive introduction for ITI COPA students exploring e-commerce fundamentals, online business models, digital payment systems, and secure internet transactions.         | vFqCJbQ6dkE?si=UksEm6u_JDtYbG1y| https://forms.gle/pQCgDqyLi5PGEQF47
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 13| 1 Cyber Security                                          | An essential security guide for ITI COPA students covering digital safety protocols, common cyber threats, and best practices for protecting sensitive data online.              | 1hj1RT1yDvQ?si=5gVHAd74ul7sWUal| https://forms.gle/55usZxEr7QfmkCbz5
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 14| 1 SDLC                                                    | A comprehensive overview for ITI COPA students detailing the software development life cycle phases, from planning and design to testing and deployment.                         | 5PBIyQFXKJI?si=evjrwP7VgMsrF1_9| https://forms.gle/cghfTzfbzdiAd2Zf8
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 15| 1 Programming Language                                    | An introductory guide for ITI COPA students explaining the core concepts of programming languages, logical syntax, and the fundamentals of software development.                 | 2G9MZCV8iCY?si=pnlgH5wmdGdM6CRi| https://forms.gle/9xFEkCbvYHwRAmtJA
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 15| 2.A Python Language                                       | An introductory guide for ITI COPA students covering the fundamentals of Python programming, including syntax, core data types, and basic logic controls.                        | cqTlV4Tli4k?si=fhMWBbY_Gtdns1za| 
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 15| 3.B JAVA Language                                         | An introductory session for ITI COPA students on the fundamentals of the Java programming language, covering core syntax, object-oriented concepts, and basic program execution. | gl9GzNl9pfE?si=XQhgh3fS8A_qg4A7| 
