Playlist ID                                                         | Trade| Year  | Module   |Image
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 1 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 2 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 3 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 4 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 5 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 6 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 7 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 8 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 9 |
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 10|
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 11|
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 12|
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 13|
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 14|
playlist?list=PL82K0I4-0q_ziXZMQM3DhQB2PGIDFu0g_&si=QMvlGkhWwtFK1r35| COPA | Year 1| Module 15|
