Playlist ID                                                         | Trade Name | Year    | Module   | Title                                                   | Description                                                                                                                                                                                           | Video Link
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.1 Electrician trade and careers                       | Explore the core duties, training path, and diverse career opportunities in the Electrician Trade for 1st-year students entering the field.                                                           | https://youtu.be/Kyfb7fF3ev4?si=7uh42ng8B7W3_ifp
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.2 Electrician Safety Rules                            | Master essential workplace safety protocols, hazard prevention, and protective equipment for 1st-year students in the Electrician Trade.                                                              | https://youtu.be/381mrE7lrw0?si=CfwZxqRL0iftsL-Y
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.3 Fire Safety                                         | Learn crucial fire prevention methods, extinguisher types, and emergency protocols tailored for 1st-year students in the Electrician Trade.                                                           | https://youtu.be/i1KpYga3ZMw?si=wRroQkC_WOyHBWEG
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.4 Rescue operation-First aid                          | Learn vital electrical shock rescue techniques and immediate first-aid procedures for 1st-year students in the Electrician Trade.                                                                     | https://youtu.be/oj9nz8LOoF0?si=c4eu47-ASqHpwaHX
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.5 Disposal of waste material                          | Understand proper scrap handling, environmental regulations, and safe disposal methods for 1st-year students in the Electrician Trade.                                                                | https://youtu.be/qnvy1sNr7_I?si=HxfFCYDSqKILwOFI
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.6 Personal Protective Equipment                       | Discover essential personal protective equipment (PPE) requirements and proper usage guidelines for 1st-year students in the Electrician Trade.                                                       | https://youtu.be/Kv20LQIp97s?si=TDTbI-Y9mJ725DN4
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.7 Cleanliness and maintenance of workshop             | Maintain a professional work environment through essential cleaning habits and tool care for 1st-year students in the Electrician Trade.                                                              | https://youtu.be/WDjUCXvANek?si=09OlIKzqJeD2NvEA
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.8 Standard and Standardisation (1)                    | Understand the importance of electrical codes, national standards, and quality benchmarks for 1st-year students in the Electrician Trade.                                                             | https://youtu.be/xjss17sPxJo?si=lGnwaVWCi-525-I3
playlist?list=PL82K0I4-0q_ySun36XqwwRgSym1Nky0wg                    | Electrician| Year 1| Module 1 | 1.8 Trade hand Tools (2)                                | Master the proper identification, safe handling, and care of essential hand tools required for 1st-year students in the Electrician Trade.                                                            | https://youtu.be/PAfRqIX6vL4?si=2ww6IGYiVvKNbemE
playlist?list=PL82K0I4-0q_z3rrw-XfzQDMVDGH93P8Px                    | Electrician| Year 1  | Module 2 | 2.1 Fundamental of electricity (1)                      | Master the core concepts of voltage, current, resistance, and electron theory designed for 1st-year students in the Electrician Trade.                                                                | https://youtu.be/kW_yw6wpQ2Q?si=orAvj9MRzJ7lCszW
