Playlist Id|Trade|Year |Module|Title|Description|Youtube video link id
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.1 MC and MI (1)|Master the working principles, construction, and key differences between Moving Coil (MC) and Moving Iron (MI) instruments, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/2GOCflMTQ0E?si=v3LFlgTDc2HeWgGE
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.1 PMMC (2)|Learn the construction, torque equations, and working principles of Permanent Magnet Moving Coil (PMMC) instruments, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/kVcr52DOLs4?si=84eibWTXe0aIoVwb
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.1 Dynamometer (3)|Learn the working principles, construction, and applications of electrodynamometer-type instruments used to measure AC and DC power, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/7qiBQVIT3Dg?si=-fnFAH7DCzkZ08iv
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.2 Wattmeters|Learn the construction, circuit connections, and working principles of various wattmeters used for power measurement, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/f71JGA_1UvA?si=cojnrfY0aH2pFY4o
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.3 phase wattmeter (1)|Learn the construction, wiring connections, and working principles of 3-phase wattmeters for power measurement, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/btxLxJY0cmY?si=e1iNZ1OaKIFdBYqY
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.3 Digital Energy meters (2)|Learn the working principles, wiring connections, and digital display parameters of electronic energy meters, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/4EbzPJuQf1U?si=jN5lNzqOdO3r9Jgl
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.3 Multimeter (3)|Learn how to measure voltage, current, and resistance using a digital and analog multimeter, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/qHSJcEXbWU4?si=UFbHyQyFVefAmS_K
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.3 Digital Frequency Meter (4)|Learn the working principles, circuit connections, and reading methods of digital frequency meters, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/Vd3TSt3UkjE?si=zVnIRQROT-llZpE8
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.4 Tong-tester|Learn how to measure alternating current safely without breaking the circuit using a digital clip-on tong-tester, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/qNmS5eVJbBk?si=ZYHX84BH1PN2wwH8
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.5 smartmeter|Learn the working principles, advanced data communication features, and modern connection layouts of electronic smart meters, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/fi70V_eugtQ?si=DnKh7hSgelPMQoTd
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.6 Extension of range MC voltmeter (1)|Learn how to extend the measuring range of a Moving Coil voltmeter using a series multiplier resistor, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/NJvsqCJyvDs?si=XUH54PYEOVWEzmoc
playlist?list=PL82K0I4-0q_xPGAoRUbqSmZDXtTb67H-3&si=OoBkX9MMEjN8DRUq|Electrician|Year 1|Module 10|10.6 Calibration of MI Ammeter (2)|Learn how to test, calibrate, and correct errors in a Moving Iron (MI) ammeter against a standard instrument, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/gR26NxhomA8?si=Tlp8XNAhmIhJT8mz
