Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.1 Alternating current (1)|Master the fundamental concepts of AC waveforms, frequency, amplitude, and peak values designed for 1st-year students in the Electrician Trade.|https://youtu.be/Mb-uPwOY3lE?si=LflNsFHm78y7ynPD	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.1 Neutral and earth conductors (2)|Learn the vital roles, distinct differences, and wiring configurations of neutral and earth conductors, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/3qq4OdaC9tI?si=dq5dg_T42vU4B-8o	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.1 A.C. circuit with R & L in series (3)|Understand the behavior, impedance calculation, and phase relationships in a series R-L circuit, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/NdOdNI9oSV4?si=Nhvjz5-lzb-S92oZ	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.2 Series resonance circuit|Learn the conditions, frequency calculations, and impedance behavior of a series resonance circuit, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/gHiveNAGnoY?si=GFawkSrVKBJii6kG	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.3 AC circuit|Understand the principles of alternating current, impedance, and power factor in single-phase systems, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/gHiveNAGnoY?si=jSsw9fZ6_ymU1H3D	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.4 Parallel resonance circuits|Learn the conditions, maximum impedance behavior, and frequency characteristics of a parallel resonance circuit, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/zElrDFvtL3Q?si=qn3y-pboABGWxaxY	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.5 Power, energy and power factor in AC|Master the relationship between active, reactive, and apparent power, alongside power factor correction, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/KhHLzzGGQ4I?si=4YAnzYjSZw5xOAxZ	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.6 Power factor|Understand the importance of power factor, the causes of low power factor, and improvement methods for 1st-year students in the Electrician Trade.|https://youtu.be/hsv4PT4WqcE?si=s1ZKlW0bwciPDWbg	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.7 3-phase AC fundamentals (1)|Master the principles of 3-phase AC generation, phase sequence, and line-to-phase relationships, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/m_f2_uuXygo?si=NVPD8VQTvJ6ypikv	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.7 Systems of connection in 3-phase AC (2)|Explore Star and Delta connection systems, calculating line and phase values in 3-phase AC networks, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/SoeoL62PqfA?si=O-s-ns8teiE44j3b	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.7 how to calculate power (3)|Learn how to calculate active, reactive, and apparent power in 3-phase AC systems, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/VspYOlDNh2k?si=rt7VDPsEjGjb-dcQ	
playlist?list=PL82K0I4-0q_wOdH5cXL9qS5XiS4jjdTcU|Electrician|Year 1|Module 5|5.7 Calculate 3-phase power (4)|Master practical formulas and step-by-step calculations to determine total power in balanced and unbalanced 3-phase systems, tailored for 1st-year students in the Electrician Trade.|https://youtu.be/VspYOlDNh2k?si=9GX_W7VVhzq-ezYM	
