Playlist ID                                                         | Trade| Year  | Module        | Title                                       | Description                                                                                                                                                                                      | Video Link
playlist?list=PL82K0I4-0q_y3-Y2QMOKzZkxw7dX1axMP&si=E9NMdmesy6uPhI68| ICTSM| Year 1| Module 1      | 1 Punctuality and Discipline                | Master the core principles of Punctuality and Discipline required for success in the 1st year of the Information & Communication Technology System Maintenance (ICTSM) trade.                    | nII1kUV_mCc?si=RpY2GI6YWtmWdyu0
playlist?list=PL82K0I4-0q_y3-Y2QMOKzZkxw7dX1axMP&si=E9NMdmesy6uPhI68| ICTSM| Year 1| Module 1      | 2 Artificial Respiration & Electrical Safety| Learn essential Artificial Respiration techniques and critical Electrical Safety protocols for the 1st year of the Information & Communication Technology System Maintenance (ICTSM) trade.      | QV7PNPgMD1I?si=UEDTH3919ZTdcolA
playlist?list=PL82K0I4-0q_y3-Y2QMOKzZkxw7dX1axMP&si=E9NMdmesy6uPhI68| ICTSM| Year 1| Module 1      | 3 Fire Extinguisher                         | Discover the correct types and usage of Fire Extinguishers to ensure workplace safety in the 1st year of the Information & Communication Technology System Maintenance (ICTSM) trade.            | ljlUzHCGJUA?si=qEAgtISU6pDEcqiH
playlist?list=PL82K0I4-0q_yuNMwGHH83KTLaF_B9rjnf&si=xPB1t0eGXU3lQRMV| ICTSM| Year 1| Module 2      | 1 Fuses & switches                          | Understand the functions, types, and essential roles of Fuses and Switches in circuit protection for the 1st year of the Information & Communication Technology System Maintenance (ICTSM) trade.| ulQc02qfrA4?si=nw7pQtps3yj3xPrB
playlist?list=PL82K0I4-0q_yuNMwGHH83KTLaF_B9rjnf&si=xPB1t0eGXU3lQRMV| ICTSM| Year 1| Module 2      | 2 Multimeter                                | Here is a short, targeted description tailored for the ICTSM (Information & Communication Technology System Maintenance) trade:                                                                  | tw6BTtl3gXI?si=3ghqMAgUdzoPNKeu
playlist?list=PL82K0I4-0q_wUaAAys2qStX66BkLvNpTf&si=1ATTnqYKp4aHHhRH| ICTSM| Year 1| Module 3      | 1 Resistors and finding its values          | Master the art of reading resistor color codes and using a multimeter to accurately measure and verify resistance values in ICT hardware.                                                        | PZCEwc53Em0?si=I3m99LbV3HmLtkXc
playlist?list=PL82K0I4-0q_wUaAAys2qStX66BkLvNpTf&si=1ATTnqYKp4aHHhRH| ICTSM| Year 1| Module 3      | 2 Ohm's Law                                 | Understand the fundamental relationship between voltage, current, and resistance to analyze and troubleshoot circuits in ICT systems using Ohm's Law.                                            | OPZYUoX473U?si=19GKD7px1WLHkghC
playlist?list=PL82K0I4-0q_wUaAAys2qStX66BkLvNpTf&si=1ATTnqYKp4aHHhRH| ICTSM| Year 1| Module 3      | 3 Soldering & De                            | Master essential soldering and desoldering techniques to securely component-mount and safely repair PCBs in ICT systems.                                                                         | NqjcMbWlNAQ?si=9g-abBIqXUuqpQUo
playlist?list=PL82K0I4-0q_wUaAAys2qStX66BkLvNpTf&si=1ATTnqYKp4aHHhRH| ICTSM| Year 1| Module 3      | 4 De-soldering                              | Learn how to safely remove components from PCBs using de-soldering pumps and wicks without damaging sensitive ICT hardware.                                                                      | jXpnJ77pYlY?si=BjMn8aMEOSU48mEu
playlist?list=PL82K0I4-0q_z70DdIA_vrVjdfgjPJeduW&si=ey7SG5wlzmuM7792| ICTSM| Year 1| Module 4      | 1 Inductance and Transformers               | Understand the principles of inductance and how transformers function to step voltage up or down in ICT power supplies and circuits.                                                             | 1CULw2uvU8g?si=yqn1gfPUumJPwdPi
playlist?list=PL82K0I4-0q_z70DdIA_vrVjdfgjPJeduW&si=ey7SG5wlzmuM7792| ICTSM| Year 1| Module 4      | 2 Transfomers and its Types                 | Explore the core principles of transformers and how to identify different types—like step-up, step-down, and isolation transformers—used in ICT power circuits.                                  | vE47pb2ZZYQ?si=JsKR4GeKNU1vs8TW
playlist?list=PL82K0I4-0q_z70DdIA_vrVjdfgjPJeduW&si=ey7SG5wlzmuM7792| ICTSM| Year 1| Module 4      | 3 Transformer losses                        | Discover the causes of core and copper losses in transformers and how they impact the efficiency of ICT power supply units.                                                                      | /_o87T8n5D80?si=fjHGqzmBmHCpduF5
playlist?list=PL82K0I4-0q_yc5qYlTUJNudvwOP_n0jte&si=QgcWki-w5GH01aD8| ICTSM| Year 1| Module 5      | 1 Capacitors                                | Understand the role of capacitors in storing charge, filtering noise, and stabilizing voltage within ICT electronic circuits.                                                                    | hidjdN2DQW4?si=ukSWLe5MutDK81bb
playlist?list=PL82K0I4-0q_yc5qYlTUJNudvwOP_n0jte&si=QgcWki-w5GH01aD8| ICTSM| Year 1| Module 5      | 2 Capacitors in series &parallel            | Learn how to calculate and measure total capacitance when capacitors are connected in series and parallel configurations within ICT circuits.                                                    | 8lAeBBqX6ms?si=8INd2FMIphxJsEvn
playlist?list=PL82K0I4-0q_yc5qYlTUJNudvwOP_n0jte&si=QgcWki-w5GH01aD8| ICTSM| Year 1| Module 5      | 3 Series and parallel resonance             | Learn how to analyze series and parallel resonance circuits, calculate resonant frequency, and understand their critical roles in ICT communication and filtering systems.                       | 2Ga6O5wCmLY?si=9Ux09E-PcyvOxTO2
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 1 Fuses and switches                        | Learn how to identify, test, and replace various fuses and switches to ensure proper circuit protection and control in ICT hardware.                                                             | r8ZXPTIVy70?si=3KVY6Qhupgg-wDNY
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 2 Simple Electrical circuit                 | Understand the fundamentals of a simple electrical circuit by exploring voltage, current, and load pathways essential for ICT hardware operation.                                                | 2OW3LoS-d4I?si=uNpa1n_z3M1MJGQ_
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 3 Specification of Diodes                   | Learn how to interpret key diode specifications—like forward voltage, peak inverse voltage ($PIV$), and maximum current—to select the right component for ICT circuit repairs.                   | wmww-dpVyAA?si=qUA9xzxFAC2BR4sQ
