Playlist Id                                                         | Trade| Year  | Module   | Title                                                     | Description                                                                                                                                                                                         | Youtube video link                              | Google Forms
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 1 Linux OS                                                | An advanced instructional video for second-year ITI ICTSM students focusing on Linux operating system administration, command-line operations, and system configuration.                            | ntXDkICB670?si=XKWgyU3H2VoBAT9O                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.1 Linux Command Line                                    | An essential introduction for ICTSM II Year students to the Linux Command Line interface, covering terminal navigation and basic directory structures.                                              | By901XBSYGs?si=aTWu_lqidqKGotk7                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.2 Linux Command Line                                    | A continuation of the Linux command series, focusing on core file management, text manipulation, and viewing commands for system administration.                                                    | tyraKtLi4Yw?si=DWBQibqT8ydruq5M                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.3 Linux Command Line                                    | A deep dive into intermediate Linux operations, covering user permissions, file ownership, and critical command-line utilities for ICTSM students.                                                  | q1rbCf4kQwE?si=O9pj9-ZvILztfcPc                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.4 Linux Command Line                                    | The final installment of the series, mastering advanced Linux command-line techniques, process management, and essential system troubleshooting tools.                                              | Zp1biPJujzk?si=LpV_iNuTOIHjYeU5                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 6 Electronic signals                                      | A technical guide for second-year ITI ICTSM students exploring the characteristics, generation, and application of analog and digital electronic signals in communication systems.                  | zd-Hv0Jh50c?si=YPHqbf-sYDaXKoZA                 | 
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 1 Printers & Plotters                                     | Learn the working principles, interfacing methods, and maintenance of various impact, non-impact printers, and large-format plotters, tailored for 1st-year students in the ICTSM Trade.            | https://youtu.be/bimSit-T8js?si=F9h39YxRqVUAKo0Y
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 2 Types of printers                                       | Learn to classify and compare different impact and non-impact printing technologies, including inkjet and laser systems, tailored for 1st-year students in the ICTSM Trade.                         | https://youtu.be/BxOBWIjfqDU?si=1tl8yKnlGTpJ1deE
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 3 Types of printer ports                                  | Learn about the interfaces, pin configurations, and data transfer speeds of various legacy and modern printer ports, tailored for 1st-year students in the ICTSM Trade.                             | https://youtu.be/NnCLlPmv1j8?si=z_lqs17498HKP4vA
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 4 Printer Information                                     | Learn how to access, read, and interpret system printer settings, driver details, and hardware status specifications, tailored for 1st-year students in the ICTSM Trade.                            | https://youtu.be/rSAfOcyaJTs?si=VUHsZ8IFIUUY3NIw
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 5 Thermal transfer printer                                | Learn the working principles, ribbon mechanisms, and core maintenance of thermal transfer printing technology, tailored for 1st-year students in the ICTSM Trade.                                   | https://youtu.be/URQIvgV8UIE?si=5WSBtQOGh3hRUe76
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 6 Power switch circuit                                    | Learn the working principles, wiring connections, and troubleshooting methods for a computer system's power switch circuit, tailored for 1st-year students in the ICTSM Trade.                      | https://youtu.be/rhq0l55KxWo?si=v2I8TmZuxQ26sZdu
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 7 Design of machine                                       | Learn the core architectural layouts, system design frameworks, and physical structural designs of modern computer hardware systems, tailored for 1st-year students in the ICTSM Trade.             | https://youtu.be/7tLujbD4x0s?si=pNBbyA_etea1MebS
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 8 The printer's brain                                     | Learn how the logic board and main controller interpret data commands to coordinate print head movements, tailored for 1st-year students in the ICTSM Trade.                                        | https://youtu.be/lqP8on1grZo?si=EZaKSITfcskUkKgk
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 9 How do laser printers work                              | Learn the complete electrophotographic printing process, from laser scanning and toner transfer to heat fusing, tailored for 1st-year students in the ICTSM Trade.                                  | https://youtu.be/mA-YjfwJtu0?si=kAoV9JfYgIVzB7Uw
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 10 A paper journey                                        | Learn how the paper feed mechanism, pickup rollers, and sensor pathways route paper smoothly through a printer, tailored for 1st-year students in the ICTSM Trade.                                  | https://youtu.be/lGTujZhSJIY?si=haEdp_VlEQCwkUwW
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 11 The hidden talent in printers                          | Discover the advanced hidden features, diagnostic modes, and secondary capabilities built into modern printer systems, tailored for 1st-year students in the ICTSM Trade.                           | https://youtu.be/i0yvI0M3bnM?si=raPV9eqaELvhrOi7
