Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_x3PVfgkjURQoatcLHxD5Db&si=ilL8klURzEWca6--|ICTSM|Year 1|Module 22|22.1 Hardware cleaning procedures (1)|Learn the proper safety protocols, cleaning solutions, and essential tool techniques for maintaining computer hardware components, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/-KX_-tT3ltU?si=ZLxmGxLsYzfMu0n2
playlist?list=PL82K0I4-0q_x3PVfgkjURQoatcLHxD5Db&si=ilL8klURzEWca6--|ICTSM|Year 1|Module 22|22.1 Cleanliness (2)|Learn the best preventive maintenance practices and cleaning schedules to keep workspace environments and computer systems dust-free, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/Q4etxD2qb48?si=LppPOUn0vD0BajtZ

Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_wlJdFSy8oNPwIi-iFyVWE0&si=t-uVeptWjjvNs8hg|ICTSM|Year 1|Module 24|24 Virus Removel|Learn how to identify system infections, run antivirus scans, and execute secure malware elimination procedures, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/ye0IDW9Z2uY?si=6AGvdbWUpV-jedD9

Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_xyO0QMhgvkvjxT-s0qK5h5&si=tZsZ4a60-y9t7o6Q|ICTSM|Year 1|Module 26|26 User Accounts & Task Manager|Learn to manage user profiles, configure access permissions, and monitor active system processes using Task Manager, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/G9srFu4hvMU?si=A7PpM9-yGpfH2BBh

Playlist ID|Trade Name|Year|Module|Title|Description|Video Link	
playlist?list=PL82K0I4-0q_yD7ptRoBHrlMB0Wlu6bbUv&si=OLcvYTMjCMFEp4IG|ICTSM|Year 1|Module 28|28.1 Software installation & Uninstallation (1)|Learn the step-by-step procedures to safely install, configure, and completely uninstall software programs in Windows, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/ZbE-LI3STQQ?si=UEDJRe-sZ9kVyT8z
playlist?list=PL82K0I4-0q_yD7ptRoBHrlMB0Wlu6bbUv&si=OLcvYTMjCMFEp4IG|ICTSM|Year 1|Module 28|28.1 Cybercrime Penalties (2)|Learn about IT Act legal provisions, data security regulations, and the legal consequences of unauthorized system access, tailored for 1st-year students in the ICTSM Trade.|https://youtu.be/Fx6DRyoEGMw?si=8_FcIQQVqaZXZ533
