Playlist Id                                                         | Trade| Year  | Module   | Title                                                   | Description                                                                                                                                                                                                                                                                                                    | Youtube video link                              | Google Forms
playlist?list=PL82K0I4-0q_x25qx_mvY15_mtDj2D7taE&si=pTp-H1cr3GuN558K| MMV  | Year 1| Module 1 | 1Mechanic Motor Vehicle Workshop Safety                 | Mechanic Motor Vehicle Workshop Safety focuses on avoiding injuries through PPE and proper tool use, while the **ITI MMV Trade** is a 2-year vocational course that trains students to diagnose, repair, and maintain modern automobiles.                                                                      | https://youtu.be/fGo6uDe3T8g?si=tWTkjdU93jNwIl6i| https://forms.gle/gq8C4muLyq6fgygC6
playlist?list=PL82K0I4-0q_x25qx_mvY15_mtDj2D7taE&si=pTp-H1cr3GuN558K| MMV  | Year 1| Module 1 | 2 Foundations of Workplace Safety                       | Foundations of Workplace Safety establishes essential hazard-awareness and risk-prevention protocols for any industrial environment, which serves as the critical safety framework for the **ITI MMV Trade**—a 2-year vocational program that trains students to safely repair and maintain modern automobiles.| https://youtu.be/askKhycAA00?si=rHismR_hT86lqycu| https://forms.gle/gq8C4muLyq6fgygC6
playlist?list=PL82K0I4-0q_x25qx_mvY15_mtDj2D7taE&si=pTp-H1cr3GuN558K| MMV  | Year 1| Module 1 | 3 Personal Protective Equipment                         | An instructional guide detailing the foundational importance, classifications (respiratory vs. non-respiratory), correct workshop usage, and proper maintenance of Personal Protective Equipment (PPE) to ensure workplace safety.                                                                             | https://youtu.be/2xFG-cIbIXE?si=xzQ812fuUPi7UfOc| https://forms.gle/gq8C4muLyq6fgygC6
playlist?list=PL82K0I4-0q_x25qx_mvY15_mtDj2D7taE&si=pTp-H1cr3GuN558K| MMV  | Year 1| Module 1 | 4 Principles of Fire Prevention                         | This video explains the workshop fire triangle (fuel, heat, oxygen), details how to match specific fire classes with correct extinguishers ($\text{CO}_2$/powder), and outlines emergency evacuation and daily prevention protocols.                                                                           | https://youtu.be/b9Z2HSEquV8?si=CjY5N5loX6Ic6MkH| https://forms.gle/gq8C4muLyq6fgygC6
playlist?list=PL82K0I4-0q_x25qx_mvY15_mtDj2D7taE&si=pTp-H1cr3GuN558K| MMV  | Year 1| Module 1 | 5 Automotive Safety Standards                           | This video outlines automotive workshop safety standards, including toxic dust ventilation, first-aid protocols (ABC rule/recovery positioning), safe vehicle lifting weight boundaries, and hazardous material disposal rules.                                                                                | https://youtu.be/-cPUu1Nq6n4?si=Z10tRQ5TO8oENsC_| https://forms.gle/gq8C4muLyq6fgygC6
playlist?list=PL82K0I4-0q_zLqBQlFUIDL_L-UIThbuHK&si=vEdqherc9YclMckF| MMV  | Year 1| Module 2 | 1 Automotive Engineering                                | This video provides an automotive engineering guide to surface preparation, explaining the use of marking materials (white wash, Prussian blue), specialized cleaning brushes, emery sheets, and precision scrapers (half-round, three-square, bull-nose) to achieve accurate part fitting.                    | https://youtu.be/yR_1l2y1ICI?si=F-XHGbHJrIGbhFF2| https://forms.gle/AA4YGtuuJcheTyHJ6
playlist?list=PL82K0I4-0q_zLqBQlFUIDL_L-UIThbuHK&si=vEdqherc9YclMckF| MMV  | Year 1| Module 2 | 2 Dimensional Measurement                               | This video gives an educational introduction to structural dimensional layout, discussing flat datum reference baselines, manufacturing grades of heavy surface plates, metric tape tools, and vehicular footprint definitions (wheelbase and wheel track).                                                    | https://youtu.be/MaMuoj7_sdE?si=5oMQzLIBHZadKyPf| https://forms.gle/AA4YGtuuJcheTyHJ6
playlist?list=PL82K0I4-0q_zLqBQlFUIDL_L-UIThbuHK&si=vEdqherc9YclMckF| MMV  | Year 1| Module 2 | 3 Fundamental Precision                                 | This video provides an instructional guide to workshop precision layout tools, explaining the design and exact measurement capabilities of steel rules, try squares, transfer calipers, and dividers alongside maintenance tips to prevent measurement errors.                                                 | https://youtu.be/sBhTJ8-cARM?si=T98TQvpgMs6XzM13| https://forms.gle/AA4YGtuuJcheTyHJ6
playlist?list=PL82K0I4-0q_zLqBQlFUIDL_L-UIThbuHK&si=vEdqherc9YclMckF| MMV  | Year 1| Module 2 | 4 Layout Hand Tools                                     | This video provides an instructional overview of metal layout hand tools, explaining the design and applications of universal surface gauges, steel scribers, prick and center punches, cold chisels, and hollow punches.                                                                                      | https://youtu.be/p-Q_C4_TvQ4?si=22KadDm4xu_KRFqo| https://forms.gle/AA4YGtuuJcheTyHJ6
playlist?list=PL82K0I4-0q_zLqBQlFUIDL_L-UIThbuHK&si=vEdqherc9YclMckF| MMV  | Year 1| Module 2 | 5 Hammers and Chisels                                   | This video explains the metallurgy, geometry, and mechanical applications of various cold chisels (flat, cross-cut, half-round, diamond-point) and engineer's hammers (ball-peen, cross-peen, straight-peen) for precision metal shaping.                                                                      | https://youtu.be/ri__oABw1kI?si=udCc98bnvrzVvjpF| https://forms.gle/AA4YGtuuJcheTyHJ6
