Playlist ID| Trade| Year|   Module | Title|	Description| Youtube video link
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Importance of Trade Training (1)|An essential orientation video for Welder trade students highlighting the career opportunities, industry demand, and vital practical skills gained through specialized vocational training. |4iw95STLrDg?si=dILnvua7n_cNpoxV
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Elementary First Aid(2) |An essential safety guide for ITI Welder students covering immediate first-aid protocols, burn management, and emergency response procedures for common welding workshop injuries.|y9Tcam7ex14?si=Jn4u_KJvZxvcKvuf
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Importance of Welding(3)|An essential overview for ITI Welder students highlighting the industrial importance of welding, core manufacturing applications, and its vital role in modern infrastructure and engineering.|RPPNq2edc1w?si=deZg_9OM5WS-o_gE
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Fundamentals of Welding Theory(4)|A foundational training session for Welder trade students covering core welding concepts, joint design, safety protocols, and the fundamental physics of the electric arc.|xIrPqOiPBeo?si=glhG8l3vMCGIRapi
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Welder's Toolkit(5)|An essential overview for ITI Welder students introducing industry-standard welding tools, safety gear, and equipment setup required for workshop operations.|V9X5JQZQZ8Y?si=HvKpLmRqTnOcUdEa
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Hand Tools for Gas Welding(6)|An essential practical guide for Welder trade students covering the identification, selection, and safe usage of specialized hand tools required for gas welding operations. |Iv0SrqWDXZM?si=QUGMhrjDiSVGkiT8
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Welding Processes and Applications(7)|A foundational overview for ITI Welder students introducing various welding techniques, equipment safety protocols, and their practical industrial applications.|G94ztuUh0Sg?si=ZpbSjgcxs5CB3KBv
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Arc and Gas welding terms(8)|An essential training session for Welder trade students defining core arc and gas welding terminology, joint types, and basic process parameters.|E8TjKOxjw6A?si=2ujhQ82k03hwryDJ
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Metal Joining Methods(9)|A practical guide for ITI Welder students exploring various metal joining methods, including fusion welding, brazing, and soldering, along with their industry applications.|Q05krQYeESE?si=w8cu1sOShICzb8P-
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Soldering(10)|A practical training session for ITI Welder students explaining the fundamentals of soldering, including tool selection, flux application, and joint preparation techniques.|ewWyNP4ll4I?si=6pnB1YTXsSD4QviS
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Types of welding joints(11)|A foundational guide for Welder trade students explaining the five basic types of welding joints—butt, lap, corner, T-, and edge—and their specific industrial applications.|eDpV6qOSyTk?si=3UTu8c0g5RaaHOQg
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Surface cleaning(12)|An essential safety and technical guide for ITI Welder students on proper surface cleaning techniques to remove contaminants and ensure strong, defect-free welds.|HFt3W-S7wnk?si=QHiL9lHY02Zvnqoh
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Basic electricity applicable(13)|A fundamental training session for ITI Welder students explaining the principles of basic electricity, including voltage, current, and circuit safety as they apply to welding operations.|ie4IAWbSTrI?si=-56pMJGvtsx-Sx5a
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Heat and temperature(14)|An essential training session for welder trade students explaining the difference between heat and temperature, thermal expansion, and their critical impact on metal properties and weld quality.|RR7uSqTbhPI?si=DGFG-4L9rZIK5y0_
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Principles of Arc welding(15)|An essential foundational guide for Welder trade students covering the core principles of arc welding, electrical circuitry, and the mechanics of creating a stable welding arc.|7XXr9CyiKPQ?si=H_vBdxFIlrQXEGN4
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Common gases used for welding(16)|An essential guide for Welder trade students covering the properties, functions, and safety measures of shielding and fuel gases like acetylene, oxygen, argon, and CO2.|Bxqh1T7bMh0?si=4st38u81c6ssC0BT
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Oxy - acetylene cutting equipment(17)|A foundational training video for Welder trade students covering the setup, safety protocols, and operational techniques of oxy-acetylene cutting equipment.|HaiRuhlt0ss?si=i2tHzuRg0-MO2NpR
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Oxy-Acetylene Cutting Torch(18)|An essential instructional video for ITI Welder students detailing the setup, operation, and safety protocols for utilizing the oxy-acetylene cutting torch.|OxihI9vD4DM?si=G5RlgdpzQdTjbyOu
playlist?list=PL82K0I4-0q_zPGfUdx1suNJrUYabWej07&si=3rCJEJKJjIhoLKMe | WELDER |Year 1| Module 1| Analyzing Gas Cutting Defects(19)|A practical guide for Welder trade trainees on identifying, analyzing, and troubleshooting common defects in oxy-fuel gas cutting to ensure high-quality, precise finishes.|bdiL7NYbqwM?si=O3Z0mXrZj_josgGy
