Playlist Id                                                         | Trade | Year  | Module  | Title                                            | Description                                                                                                                                                                                         | Youtube video link id
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Quality and Inspection Standards(1)      | An essential training overview for ITI Welder students covering weld quality criteria, common defect identification, and international inspection standards.                                        | GG8iuh7fL-E?si=SInBPcJf79PDmXio
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Gauges Theory and Application(2)         | A foundational guide for Welder trade students covering the theoretical principles, measurement techniques, and practical applications of various welding gauges for defect inspection.             | HB1ohJQ4HBc?si=z_Wjdq_hWBsYBFJf
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Calcium Carbide and Acetylene Gas(3)             | A foundational training video for ITI Welder students explaining the chemical properties of calcium carbide and its reaction to produce acetylene gas for gas welding operations.                   | AiR2Qpz1SwQ?si=T9nkbtb4526nS0Qd
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Oxygen and Acetylene Gas Properties(4)           | An essential training video for Welder trade students detailing the chemical properties, combustion characteristics, and safe handling of oxygen and acetylene gases.                               | sXxx2hBOdWM?si=8Hkh43llqhQN8NJl
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Industrial Gas Acetylene Cylinder(5)             | An essential safety and technical guide for ITI Welder students on handling, storing, and safely utilizing acetylene cylinders in industrial gas welding operations.                                | CI4oLQ5Vadg?si=a6w7ZwMesXGdQrSC
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Regulation and Oxy-Acetylene(6)              | An essential training session for ITI Welder students covering safe gas pressure regulation, equipment setup, and the core techniques of oxy-acetylene welding.                                     | -S7pt9WgJdA?si=wnk5wIhVZO3zXtkW
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Techniques(7)                        | A foundational training session for ITI Welder students covering essential gas welding techniques, flame adjustment, safety protocols, and proper equipment handling.                               | 7mwtkoUP9Ok?si=84XtmDclq2rCP3Zb
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Mastering Arc Blow(8)                            | An essential technical guide for ITI Welder students on understanding, preventing, and controlling arc blow to ensure high-quality, defect-free welding joints.                                     | hFcdgm-12fk?si=MPcSJZFlwv7fzE3Y
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Controlling Distortion in Arc(9)                 | A practical training guide for ITI Welder students explaining the causes of distortion in arc welding and the essential techniques used to prevent and control it.                                  | wfZoIshEkC8?si=rxyvAnFHs-q3-4Oq
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Techniques for Controlling Welding Distortion(10)| A practical guide for ITI Welder students exploring effective clamping, sequencing, and thermal techniques to prevent and control distortion during welding operations.                             | z3L3f5_bAlM?si=6CnA-GsFpW7-egun
